TE,CA,Subject
44,45,1
44,39,1
46,44,1
36,42,1
48,42,1
40,40,1
42,43,1
42,41,1
44,45,1
42,42,1
44,42,1
43,42,1
44,45,1
40,36,1
41,41,1
46,42,1
40,42,1
45,42,1
42,44,1
37,41,1
40,43,1
39,42,1
44,44,1
44,38,1
38,33,1
38,38,1
44,44,1
42,41,1
39,41,1
46,46,1
39,43,1
46,46,1
42,40,1
42,42,1
42,42,1
45,46,1
44,43,1
43,39,1
40,42,1
44,45,1
44,37,1
43,42,1
44,44,1
46,44,1
46,44,1
40,40,1
40,42,1
44,45,1
42,41,1
43,44,1
42,44,1
39,40,1
39,40,1
43,43,1
45,42,1
40,42,1
46,45,1
44,46,1
44,45,1
40,38,1
45,43,1
46,43,1
45,42,1
46,43,1
46,44,1
37,20,1
38,43,1
43,42,1
41,39,1
46,46,1
48,42,1
41,39,1
46,44,1
44,44,1
45,44,1
37,39,1
37,42,1
45,45,1
41,41,1
38,40,1
41,42,1
36,33,1
44,39,1
41,44,1
41,42,1
41,42,1
37,40,1
46,46,1
45,42,1
38,39,1
46,44,1
46,39,1
40,35,1
38,37,1
36,31,1
44,44,1
46,45,1
45,44,1
45,45,1
39,38,1
45,43,1
46,39,1
46,45,1
39,36,1
45,44,1
40,40,1
45,44,1
36,33,1
42,42,1
38,39,1
47,46,1
39,41,1
39,42,1
46,42,1
44,45,1
38,42,1
42,44,1
46,44,1
42,43,1
41,43,1
39,41,1
44,40,1
41,40,1
42,43,1
38,37,1
41,41,1
36,41,1
40,40,1
42,41,1
42,38,1
